ZIP CODE,Geography,Respite Reimbursement Rate ($/hr)
99501,ALASKA,44.05
99502,ALASKA,44.05
99503,ALASKA,44.05
99504,ALASKA,44.05
99505,ALASKA,44.05
99506,ALASKA,44.05
99507,ALASKA,44.05
99508,ALASKA,44.05
99509,ALASKA,44.05
99510,ALASKA,44.05
99511,ALASKA,44.05
99512,ALASKA,44.05
99513,ALASKA,44.05
99514,ALASKA,44.05
99515,ALASKA,44.05
99516,ALASKA,44.05
99517,ALASKA,44.05
99518,ALASKA,44.05
99519,ALASKA,44.05
99520,ALASKA,44.05
99521,ALASKA,44.05
99522,ALASKA,44.05
99523,ALASKA,44.05
99524,ALASKA,44.05
99529,ALASKA,44.05
99530,ALASKA,44.05
99540,ALASKA,44.05
99545,ALASKA,44.05
99546,ALASKA,44.05
99547,ALASKA,44.05
99548,ALASKA,44.05
99549,ALASKA,44.05
99550,ALASKA,44.05
99551,ALASKA,44.05
99552,ALASKA,44.05
99553,ALASKA,44.05
99554,ALASKA,44.05
99555,ALASKA,44.05
99556,ALASKA,44.05
99557,ALASKA,44.05
99558,ALASKA,44.05
99559,ALASKA,44.05
99561,ALASKA,44.05
99563,ALASKA,44.05
99564,ALASKA,44.05
99565,ALASKA,44.05
99566,ALASKA,44.05
99567,ALASKA,44.05
99568,ALASKA,44.05
99569,ALASKA,44.05
99571,ALASKA,44.05
99572,ALASKA,44.05
99573,ALASKA,44.05
99574,ALASKA,44.05
99575,ALASKA,44.05
99576,ALASKA,44.05
99577,ALASKA,44.05
99578,ALASKA,44.05
99579,ALASKA,44.05
99580,ALASKA,44.05
99581,ALASKA,44.05
99583,ALASKA,44.05
99584,ALASKA,44.05
99585,ALASKA,44.05
99586,ALASKA,44.05
99587,ALASKA,44.05
99588,ALASKA,44.05
99589,ALASKA,44.05
99590,ALASKA,44.05
99591,ALASKA,44.05
99599,ALASKA,44.05
99602,ALASKA,44.05
99603,ALASKA,44.05
99604,ALASKA,44.05
99605,ALASKA,44.05
99606,ALASKA,44.05
99607,ALASKA,44.05
99608,ALASKA,44.05
99609,ALASKA,44.05
99610,ALASKA,44.05
99611,ALASKA,44.05
99612,ALASKA,44.05
99613,ALASKA,44.05
99614,ALASKA,44.05
99615,ALASKA,44.05
99619,ALASKA,44.05
99620,ALASKA,44.05
99621,ALASKA,44.05
99622,ALASKA,44.05
99623,ALASKA,44.05
99624,ALASKA,44.05
99625,ALASKA,44.05
99626,ALASKA,44.05
99627,ALASKA,44.05
99628,ALASKA,44.05
99629,ALASKA,44.05
