ZIP CODE,Geography,Respite Reimbursement Rate ($/hr)
"=""99501""",ALASKA,43.50
"=""99502""",ALASKA,43.50
"=""99503""",ALASKA,43.50
"=""99504""",ALASKA,43.50
"=""99505""",ALASKA,43.50
"=""99506""",ALASKA,43.50
"=""99507""",ALASKA,43.50
"=""99508""",ALASKA,43.50
"=""99509""",ALASKA,43.50
"=""99510""",ALASKA,43.50
"=""99511""",ALASKA,43.50
"=""99512""",ALASKA,43.50
"=""99513""",ALASKA,43.50
"=""99514""",ALASKA,43.50
"=""99515""",ALASKA,43.50
"=""99516""",ALASKA,43.50
"=""99517""",ALASKA,43.50
"=""99518""",ALASKA,43.50
"=""99519""",ALASKA,43.50
"=""99520""",ALASKA,43.50
"=""99521""",ALASKA,43.50
"=""99522""",ALASKA,43.50
"=""99523""",ALASKA,43.50
"=""99524""",ALASKA,43.50
"=""99529""",ALASKA,43.50
"=""99530""",ALASKA,43.50
"=""99540""",ALASKA,43.50
"=""99545""",ALASKA,43.50
"=""99546""",ALASKA,43.50
"=""99547""",ALASKA,43.50
"=""99548""",ALASKA,43.50
"=""99549""",ALASKA,43.50
"=""99550""",ALASKA,43.50
"=""99551""",ALASKA,43.50
"=""99552""",ALASKA,43.50
"=""99553""",ALASKA,43.50
"=""99554""",ALASKA,43.50
"=""99555""",ALASKA,43.50
"=""99556""",ALASKA,43.50
"=""99557""",ALASKA,43.50
"=""99558""",ALASKA,43.50
"=""99559""",ALASKA,43.50
"=""99561""",ALASKA,43.50
"=""99563""",ALASKA,43.50
"=""99564""",ALASKA,43.50
"=""99565""",ALASKA,43.50
"=""99566""",ALASKA,43.50
"=""99567""",ALASKA,43.50
"=""99568""",ALASKA,43.50
"=""99569""",ALASKA,43.50
"=""99571""",ALASKA,43.50
"=""99572""",ALASKA,43.50
"=""99573""",ALASKA,43.50
"=""99574""",ALASKA,43.50
"=""99575""",ALASKA,43.50
"=""99576""",ALASKA,43.50
"=""99577""",ALASKA,43.50
"=""99578""",ALASKA,43.50
"=""99579""",ALASKA,43.50
"=""99580""",ALASKA,43.50
"=""99581""",ALASKA,43.50
"=""99583""",ALASKA,43.50
"=""99584""",ALASKA,43.50
"=""99585""",ALASKA,43.50
"=""99586""",ALASKA,43.50
"=""99587""",ALASKA,43.50
"=""99588""",ALASKA,43.50
"=""99589""",ALASKA,43.50
"=""99590""",ALASKA,43.50
"=""99591""",ALASKA,43.50
"=""99599""",ALASKA,43.50
"=""99602""",ALASKA,43.50
"=""99603""",ALASKA,43.50
"=""99604""",ALASKA,43.50
"=""99605""",ALASKA,43.50
"=""99606""",ALASKA,43.50
"=""99607""",ALASKA,43.50
"=""99608""",ALASKA,43.50
"=""99609""",ALASKA,43.50
"=""99610""",ALASKA,43.50
"=""99611""",ALASKA,43.50
"=""99612""",ALASKA,43.50
"=""99613""",ALASKA,43.50
"=""99614""",ALASKA,43.50
"=""99615""",ALASKA,43.50
"=""99619""",ALASKA,43.50
"=""99620""",ALASKA,43.50
"=""99621""",ALASKA,43.50
"=""99622""",ALASKA,43.50
"=""99623""",ALASKA,43.50
"=""99624""",ALASKA,43.50
"=""99625""",ALASKA,43.50
"=""99626""",ALASKA,43.50
"=""99627""",ALASKA,43.50
"=""99628""",ALASKA,43.50
"=""99629""",ALASKA,43.50
"=""99630""",ALASKA,43.50
"=""99631""",ALASKA,43.50
"=""99632""",ALASKA,43.50
"=""99633""",ALASKA,43.50
"=""99634""",ALASKA,43.50
"=""99635""",ALASKA,43.50
"=""99636""",ALASKA,43.50
"=""99637""",ALASKA,43.50
"=""99638""",ALASKA,43.50
"=""99639""",ALASKA,43.50
"=""99640""",ALASKA,43.50
"=""99641""",ALASKA,43.50
"=""99643""",ALASKA,43.50
"=""99644""",ALASKA,43.50
"=""99645""",ALASKA,43.50
"=""99647""",ALASKA,43.50
"=""99648""",ALASKA,43.50
"=""99649""",ALASKA,43.50
"=""99650""",ALASKA,43.50
"=""99651""",ALASKA,43.50
"=""99652""",ALASKA,43.50
"=""99653""",ALASKA,43.50
"=""99654""",ALASKA,43.50
"=""99655""",ALASKA,43.50
"=""99656""",ALASKA,43.50
"=""99657""",ALASKA,43.50
"=""99658""",ALASKA,43.50
"=""99659""",ALASKA,43.50
"=""99660""",ALASKA,43.50
"=""99661""",ALASKA,43.50
"=""99662""",ALASKA,43.50
"=""99663""",ALASKA,43.50
"=""99664""",ALASKA,43.50
"=""99665""",ALASKA,43.50
"=""99666""",ALASKA,43.50
"=""99667""",ALASKA,43.50
"=""99668""",ALASKA,43.50
"=""99669""",ALASKA,43.50
"=""99670""",ALASKA,43.50
"=""99671""",ALASKA,43.50
"=""99672""",ALASKA,43.50
"=""99674""",ALASKA,43.50
"=""99675""",ALASKA,43.50
"=""99676""",ALASKA,43.50
"=""99677""",ALASKA,43.50
"=""99678""",ALASKA,43.50
"=""99679""",ALASKA,43.50
"=""99680""",ALASKA,43.50
"=""99681""",ALASKA,43.50
"=""99682""",ALASKA,43.50
"=""99683""",ALASKA,43.50
"=""99684""",ALASKA,43.50
"=""99685""",ALASKA,43.50
"=""99686""",ALASKA,43.50
"=""99687""",ALASKA,43.50
"=""99688""",ALASKA,43.50
"=""99689""",ALASKA,43.50
"=""99690""",ALASKA,43.50
"=""99691""",ALASKA,43.50
"=""99692""",ALASKA,43.50
"=""99693""",ALASKA,43.50
"=""99694""",ALASKA,43.50
"=""99695""",ALASKA,43.50
"=""99697""",ALASKA,43.50
"=""99701""",ALASKA,43.50
"=""99702""",ALASKA,43.50
"=""99703""",ALASKA,43.50
"=""99704""",ALASKA,43.50
"=""99705""",ALASKA,43.50
"=""99706""",ALASKA,43.50
"=""99707""",ALASKA,43.50
"=""99708""",ALASKA,43.50
"=""99709""",ALASKA,43.50
"=""99710""",ALASKA,43.50
"=""99711""",ALASKA,43.50
"=""99712""",ALASKA,43.50
"=""99714""",ALASKA,43.50
"=""99716""",ALASKA,43.50
"=""99720""",ALASKA,43.50
"=""99721""",ALASKA,43.50
"=""99722""",ALASKA,43.50
"=""99723""",ALASKA,43.50
"=""99724""",ALASKA,43.50
"=""99725""",ALASKA,43.50
"=""99726""",ALASKA,43.50
"=""99727""",ALASKA,43.50
"=""99729""",ALASKA,43.50
"=""99730""",ALASKA,43.50
"=""99731""",ALASKA,43.50
"=""99732""",ALASKA,43.50
"=""99733""",ALASKA,43.50
"=""99734""",ALASKA,43.50
"=""99736""",ALASKA,43.50
"=""99737""",ALASKA,43.50
"=""99738""",ALASKA,43.50
"=""99739""",ALASKA,43.50
"=""99740""",ALASKA,43.50
"=""99741""",ALASKA,43.50
"=""99742""",ALASKA,43.50
"=""99743""",ALASKA,43.50
"=""99744""",ALASKA,43.50
"=""99745""",ALASKA,43.50
"=""99746""",ALASKA,43.50
"=""99747""",ALASKA,43.50
"=""99748""",ALASKA,43.50
"=""99749""",ALASKA,43.50
"=""99750""",ALASKA,43.50
"=""99751""",ALASKA,43.50
"=""99752""",ALASKA,43.50
"=""99753""",ALASKA,43.50
"=""99754""",ALASKA,43.50
"=""99755""",ALASKA,43.50
"=""99756""",ALASKA,43.50
"=""99757""",ALASKA,43.50
"=""99758""",ALASKA,43.50
"=""99759""",ALASKA,43.50
"=""99760""",ALASKA,43.50
"=""99761""",ALASKA,43.50
"=""99762""",ALASKA,43.50
"=""99763""",ALASKA,43.50
"=""99764""",ALASKA,43.50
"=""99765""",ALASKA,43.50
"=""99766""",ALASKA,43.50
"=""99767""",ALASKA,43.50
"=""99768""",ALASKA,43.50
"=""99769""",ALASKA,43.50
"=""99770""",ALASKA,43.50
"=""99771""",ALASKA,43.50
"=""99772""",ALASKA,43.50
"=""99773""",ALASKA,43.50
"=""99774""",ALASKA,43.50
"=""99775""",ALASKA,43.50
"=""99776""",ALASKA,43.50
"=""99777""",ALASKA,43.50
"=""99778""",ALASKA,43.50
"=""99779""",ALASKA,43.50
"=""99780""",ALASKA,43.50
"=""99781""",ALASKA,43.50
"=""99782""",ALASKA,43.50
"=""99783""",ALASKA,43.50
"=""99784""",ALASKA,43.50
"=""99785""",ALASKA,43.50
"=""99786""",ALASKA,43.50
"=""99788""",ALASKA,43.50
"=""99789""",ALASKA,43.50
"=""99790""",ALASKA,43.50
"=""99791""",ALASKA,43.50
"=""99801""",ALASKA,43.50
"=""99802""",ALASKA,43.50
"=""99803""",ALASKA,43.50
"=""99811""",ALASKA,43.50
"=""99812""",ALASKA,43.50
"=""99820""",ALASKA,43.50
"=""99821""",ALASKA,43.50
"=""99824""",ALASKA,43.50
"=""99825""",ALASKA,43.50
"=""99826""",ALASKA,43.50
"=""99827""",ALASKA,43.50
"=""99829""",ALASKA,43.50
"=""99830""",ALASKA,43.50
"=""99832""",ALASKA,43.50
"=""99833""",ALASKA,43.50
"=""99835""",ALASKA,43.50
"=""99836""",ALASKA,43.50
"=""99840""",ALASKA,43.50
"=""99841""",ALASKA,43.50
"=""99850""",ALASKA,43.50
"=""99901""",ALASKA,43.50
"=""99903""",ALASKA,43.50
"=""99918""",ALASKA,43.50
"=""99919""",ALASKA,43.50
"=""99921""",ALASKA,43.50
"=""99922""",ALASKA,43.50
"=""99923""",ALASKA,43.50
"=""99925""",ALASKA,43.50
"=""99926""",ALASKA,43.50
"=""99927""",ALASKA,43.50
"=""99928""",ALASKA,43.50
"=""99929""",ALASKA,43.50
"=""99950""",ALASKA,43.50
"=""35004""",ALABAMA,31.91
"=""35005""",ALABAMA,31.91
"=""35006""",ALABAMA,31.91
"=""35007""",ALABAMA,31.91
"=""35010""",ALABAMA,31.91
"=""35011""",ALABAMA,31.91
"=""35013""",ALABAMA,31.91
"=""35014""",ALABAMA,31.91
"=""35015""",ALABAMA,31.91
"=""35016""",ALABAMA,31.91
"=""35019""",ALABAMA,31.91
"=""35020""",ALABAMA,31.91
"=""35021""",ALABAMA,31.91
"=""35022""",ALABAMA,31.91
"=""35023""",ALABAMA,31.91
"=""35031""",ALABAMA,31.91
"=""35032""",ALABAMA,31.91
"=""35033""",ALABAMA,31.91
"=""35034""",ALABAMA,31.91
"=""35035""",ALABAMA,31.91
"=""35036""",ALABAMA,31.91
"=""35038""",ALABAMA,31.91
"=""35040""",ALABAMA,31.91
"=""35041""",ALABAMA,31.91
"=""35042""",ALABAMA,31.91
"=""35043""",ALABAMA,31.91
"=""35044""",ALABAMA,31.91
"=""35045""",ALABAMA,31.91
"=""35046""",ALABAMA,31.91
"=""35048""",ALABAMA,31.91
"=""35049""",ALABAMA,31.91
"=""35051""",ALABAMA,31.91
"=""35052""",ALABAMA,31.91
"=""35053""",ALABAMA,31.91
"=""35054""",ALABAMA,31.91
"=""35055""",ALABAMA,31.91
"=""35056""",ALABAMA,31.91
"=""35057""",ALABAMA,31.91
"=""35058""",ALABAMA,31.91
"=""35060""",ALABAMA,31.91
"=""35061""",ALABAMA,31.91
"=""35062""",ALABAMA,31.91
"=""35063""",ALABAMA,31.91
"=""35064""",ALABAMA,31.91
"=""35068""",ALABAMA,31.91
"=""35070""",ALABAMA,31.91
"=""35071""",ALABAMA,31.91
"=""35072""",ALABAMA,31.91
"=""35073""",ALABAMA,31.91
"=""35074""",ALABAMA,31.91
"=""35077""",ALABAMA,31.91
"=""35078""",ALABAMA,31.91
"=""35079""",ALABAMA,31.91
"=""35080""",ALABAMA,31.91
"=""35082""",ALABAMA,31.91
"=""35083""",ALABAMA,31.91
"=""35085""",ALABAMA,31.91
"=""35087""",ALABAMA,31.91
"=""35089""",ALABAMA,31.91
"=""35091""",ALABAMA,31.91
"=""35094""",ALABAMA,31.91
"=""35096""",ALABAMA,31.91
"=""35097""",ALABAMA,31.91
"=""35098""",ALABAMA,31.91
"=""35111""",ALABAMA,31.91
"=""35112""",ALABAMA,31.91
"=""35114""",ALABAMA,31.91
"=""35115""",ALABAMA,31.91
"=""35116""",ALABAMA,31.91
"=""35117""",ALABAMA,31.91
"=""35118""",ALABAMA,31.91
"=""35119""",ALABAMA,31.91
"=""35120""",ALABAMA,31.91
"=""35121""",ALABAMA,31.91
"=""35123""",ALABAMA,31.91
"=""35124""",ALABAMA,31.91
"=""35125""",ALABAMA,31.91
"=""35126""",ALABAMA,31.91
"=""35127""",ALABAMA,31.91
"=""35128""",ALABAMA,31.91
"=""35130""",ALABAMA,31.91
"=""35131""",ALABAMA,31.91
"=""35133""",ALABAMA,31.91
"=""35135""",ALABAMA,31.91
"=""35136""",ALABAMA,31.91
"=""35137""",ALABAMA,31.91
"=""35139""",ALABAMA,31.91
"=""35142""",ALABAMA,31.91
"=""35143""",ALABAMA,31.91
"=""35144""",ALABAMA,31.91
"=""35146""",ALABAMA,31.91
"=""35147""",ALABAMA,31.91
"=""35148""",ALABAMA,31.91
"=""35149""",ALABAMA,31.91
"=""35150""",ALABAMA,31.91
"=""35151""",ALABAMA,31.91
"=""35160""",ALABAMA,31.91
"=""35161""",ALABAMA,31.91
"=""35171""",ALABAMA,31.91
"=""35172""",ALABAMA,31.91
"=""35173""",ALABAMA,31.91
"=""35175""",ALABAMA,31.91
"=""35176""",ALABAMA,31.91
"=""35178""",ALABAMA,31.91
"=""35179""",ALABAMA,31.91
"=""35180""",ALABAMA,31.91
"=""35181""",ALABAMA,31.91
"=""35182""",ALABAMA,31.91
"=""35183""",ALABAMA,31.91
"=""35184""",ALABAMA,31.91
"=""35185""",ALABAMA,31.91
