ZIP CODE,Geography,Respite Reimbursement Rate ($/hr)
"=""99501""",ALASKA,42.9
"=""99502""",ALASKA,42.9
"=""99503""",ALASKA,42.9
"=""99504""",ALASKA,42.9
"=""99505""",ALASKA,42.9
"=""99506""",ALASKA,42.9
"=""99507""",ALASKA,42.9
"=""99508""",ALASKA,42.9
"=""99509""",ALASKA,42.9
"=""99510""",ALASKA,42.9
"=""99511""",ALASKA,42.9
"=""99512""",ALASKA,42.9
"=""99513""",ALASKA,42.9
"=""99514""",ALASKA,42.9
"=""99515""",ALASKA,42.9
"=""99516""",ALASKA,42.9
"=""99517""",ALASKA,42.9
"=""99518""",ALASKA,42.9
"=""99519""",ALASKA,42.9
"=""99520""",ALASKA,42.9
"=""99521""",ALASKA,42.9
"=""99522""",ALASKA,42.9
"=""99523""",ALASKA,42.9
"=""99524""",ALASKA,42.9
"=""99529""",ALASKA,42.9
"=""99530""",ALASKA,42.9
"=""99540""",ALASKA,42.9
"=""99545""",ALASKA,42.9
"=""99546""",ALASKA,42.9
"=""99547""",ALASKA,42.9
"=""99548""",ALASKA,42.9
"=""99549""",ALASKA,42.9
"=""99550""",ALASKA,42.9
"=""99551""",ALASKA,42.9
"=""99552""",ALASKA,42.9
"=""99553""",ALASKA,42.9
"=""99554""",ALASKA,42.9
"=""99555""",ALASKA,42.9
"=""99556""",ALASKA,42.9
"=""99557""",ALASKA,42.9
"=""99558""",ALASKA,42.9
"=""99559""",ALASKA,42.9
"=""99561""",ALASKA,42.9
"=""99563""",ALASKA,42.9
"=""99564""",ALASKA,42.9
"=""99565""",ALASKA,42.9
"=""99566""",ALASKA,42.9
"=""99567""",ALASKA,42.9
"=""99568""",ALASKA,42.9
"=""99569""",ALASKA,42.9
"=""99571""",ALASKA,42.9
"=""99572""",ALASKA,42.9
"=""99573""",ALASKA,42.9
"=""99574""",ALASKA,42.9
"=""99575""",ALASKA,42.9
"=""99576""",ALASKA,42.9
"=""99577""",ALASKA,42.9
"=""99578""",ALASKA,42.9
"=""99579""",ALASKA,42.9
"=""99580""",ALASKA,42.9
"=""99581""",ALASKA,42.9
"=""99583""",ALASKA,42.9
"=""99584""",ALASKA,42.9
"=""99585""",ALASKA,42.9
"=""99586""",ALASKA,42.9
"=""99587""",ALASKA,42.9
"=""99588""",ALASKA,42.9
"=""99589""",ALASKA,42.9
"=""99590""",ALASKA,42.9
"=""99591""",ALASKA,42.9
"=""99599""",ALASKA,42.9
"=""99602""",ALASKA,42.9
"=""99603""",ALASKA,42.9
"=""99604""",ALASKA,42.9
"=""99605""",ALASKA,42.9
"=""99606""",ALASKA,42.9
"=""99607""",ALASKA,42.9
"=""99608""",ALASKA,42.9
"=""99609""",ALASKA,42.9
"=""99610""",ALASKA,42.9
"=""99611""",ALASKA,42.9
"=""99612""",ALASKA,42.9
"=""99613""",ALASKA,42.9
"=""99614""",ALASKA,42.9
"=""99615""",ALASKA,42.9
"=""99619""",ALASKA,42.9
"=""99620""",ALASKA,42.9
"=""99621""",ALASKA,42.9
"=""99622""",ALASKA,42.9
"=""99623""",ALASKA,42.9
"=""99624""",ALASKA,42.9
"=""99625""",ALASKA,42.9
"=""99626""",ALASKA,42.9
"=""99627""",ALASKA,42.9
"=""99628""",ALASKA,42.9
"=""99629""",ALASKA,42.9
"=""99630""",ALASKA,42.9
"=""99631""",ALASKA,42.9
"=""99632""",ALASKA,42.9
"=""99633""",ALASKA,42.9
"=""99634""",ALASKA,42.9
"=""99635""",ALASKA,42.9
"=""99636""",ALASKA,42.9
"=""99637""",ALASKA,42.9
"=""99638""",ALASKA,42.9
"=""99639""",ALASKA,42.9
"=""99640""",ALASKA,42.9
"=""99641""",ALASKA,42.9
"=""99643""",ALASKA,42.9
"=""99644""",ALASKA,42.9
"=""99645""",ALASKA,42.9
"=""99647""",ALASKA,42.9
"=""99648""",ALASKA,42.9
"=""99649""",ALASKA,42.9
"=""99650""",ALASKA,42.9
"=""99651""",ALASKA,42.9
"=""99652""",ALASKA,42.9
"=""99653""",ALASKA,42.9
"=""99654""",ALASKA,42.9
"=""99655""",ALASKA,42.9
"=""99656""",ALASKA,42.9
"=""99657""",ALASKA,42.9
"=""99658""",ALASKA,42.9
"=""99659""",ALASKA,42.9
"=""99660""",ALASKA,42.9
"=""99661""",ALASKA,42.9
"=""99662""",ALASKA,42.9
"=""99663""",ALASKA,42.9
"=""99664""",ALASKA,42.9
"=""99665""",ALASKA,42.9
"=""99666""",ALASKA,42.9
"=""99667""",ALASKA,42.9
"=""99668""",ALASKA,42.9
"=""99669""",ALASKA,42.9
"=""99670""",ALASKA,42.9
"=""99671""",ALASKA,42.9
"=""99672""",ALASKA,42.9
"=""99674""",ALASKA,42.9
"=""99675""",ALASKA,42.9
"=""99676""",ALASKA,42.9
"=""99677""",ALASKA,42.9
"=""99678""",ALASKA,42.9
"=""99679""",ALASKA,42.9
"=""99680""",ALASKA,42.9
"=""99681""",ALASKA,42.9
"=""99682""",ALASKA,42.9
"=""99683""",ALASKA,42.9
"=""99684""",ALASKA,42.9
"=""99685""",ALASKA,42.9
"=""99686""",ALASKA,42.9
"=""99687""",ALASKA,42.9
"=""99688""",ALASKA,42.9
"=""99689""",ALASKA,42.9
"=""99690""",ALASKA,42.9
"=""99691""",ALASKA,42.9
"=""99692""",ALASKA,42.9
"=""99693""",ALASKA,42.9
"=""99694""",ALASKA,42.9
"=""99695""",ALASKA,42.9
"=""99697""",ALASKA,42.9
"=""99701""",ALASKA,42.9
"=""99702""",ALASKA,42.9
"=""99703""",ALASKA,42.9
