ZIP CODE,Geography,Respite Reimbursement Rate ($/hr)
"=""99501""",ALASKA,42.56
"=""99502""",ALASKA,42.56
"=""99503""",ALASKA,42.56
"=""99504""",ALASKA,42.56
"=""99505""",ALASKA,42.56
"=""99506""",ALASKA,42.56
"=""99507""",ALASKA,42.56
"=""99508""",ALASKA,42.56
"=""99509""",ALASKA,42.56
"=""99510""",ALASKA,42.56
"=""99511""",ALASKA,42.56
"=""99512""",ALASKA,42.56
"=""99513""",ALASKA,42.56
"=""99514""",ALASKA,42.56
"=""99515""",ALASKA,42.56
"=""99516""",ALASKA,42.56
"=""99517""",ALASKA,42.56
"=""99518""",ALASKA,42.56
"=""99519""",ALASKA,42.56
"=""99520""",ALASKA,42.56
"=""99521""",ALASKA,42.56
"=""99522""",ALASKA,42.56
"=""99523""",ALASKA,42.56
"=""99524""",ALASKA,42.56
"=""99529""",ALASKA,42.56
"=""99530""",ALASKA,42.56
"=""99540""",ALASKA,42.56
"=""99545""",ALASKA,42.56
"=""99546""",ALASKA,42.56
"=""99547""",ALASKA,42.56
"=""99548""",ALASKA,42.56
"=""99549""",ALASKA,42.56
"=""99550""",ALASKA,42.56
"=""99551""",ALASKA,42.56
"=""99552""",ALASKA,42.56
"=""99553""",ALASKA,42.56
"=""99554""",ALASKA,42.56
"=""99555""",ALASKA,42.56
"=""99556""",ALASKA,42.56
"=""99557""",ALASKA,42.56
"=""99558""",ALASKA,42.56
"=""99559""",ALASKA,42.56
"=""99561""",ALASKA,42.56
"=""99563""",ALASKA,42.56
"=""99564""",ALASKA,42.56
"=""99565""",ALASKA,42.56
"=""99566""",ALASKA,42.56
"=""99567""",ALASKA,42.56
"=""99568""",ALASKA,42.56
"=""99569""",ALASKA,42.56
"=""99571""",ALASKA,42.56
"=""99572""",ALASKA,42.56
"=""99573""",ALASKA,42.56
"=""99574""",ALASKA,42.56
"=""99575""",ALASKA,42.56
"=""99576""",ALASKA,42.56
"=""99577""",ALASKA,42.56
"=""99578""",ALASKA,42.56
"=""99579""",ALASKA,42.56
"=""99580""",ALASKA,42.56
"=""99581""",ALASKA,42.56
"=""99583""",ALASKA,42.56
"=""99584""",ALASKA,42.56
"=""99585""",ALASKA,42.56
"=""99586""",ALASKA,42.56
"=""99587""",ALASKA,42.56
"=""99588""",ALASKA,42.56
"=""99589""",ALASKA,42.56
"=""99590""",ALASKA,42.56
"=""99591""",ALASKA,42.56
"=""99599""",ALASKA,42.56
"=""99602""",ALASKA,42.56
"=""99603""",ALASKA,42.56
"=""99604""",ALASKA,42.56
"=""99605""",ALASKA,42.56
"=""99606""",ALASKA,42.56
"=""99607""",ALASKA,42.56
"=""99608""",ALASKA,42.56
"=""99609""",ALASKA,42.56
"=""99610""",ALASKA,42.56
"=""99611""",ALASKA,42.56
"=""99612""",ALASKA,42.56
"=""99613""",ALASKA,42.56
"=""99614""",ALASKA,42.56
"=""99615""",ALASKA,42.56
"=""99619""",ALASKA,42.56
"=""99620""",ALASKA,42.56
"=""99621""",ALASKA,42.56
"=""99622""",ALASKA,42.56
"=""99623""",ALASKA,42.56
"=""99624""",ALASKA,42.56
"=""99625""",ALASKA,42.56
"=""99626""",ALASKA,42.56
"=""99627""",ALASKA,42.56
"=""99628""",ALASKA,42.56
"=""99629""",ALASKA,42.56
"=""99630""",ALASKA,42.56
"=""99631""",ALASKA,42.56
"=""99632""",ALASKA,42.56
"=""99633""",ALASKA,42.56
"=""99634""",ALASKA,42.56
"=""99635""",ALASKA,42.56
"=""99636""",ALASKA,42.56
"=""99637""",ALASKA,42.56
"=""99638""",ALASKA,42.56
"=""99639""",ALASKA,42.56
"=""99640""",ALASKA,42.56
"=""99641""",ALASKA,42.56
"=""99643""",ALASKA,42.56
"=""99644""",ALASKA,42.56
"=""99645""",ALASKA,42.56
"=""99647""",ALASKA,42.56
"=""99648""",ALASKA,42.56
"=""99649""",ALASKA,42.56
"=""99650""",ALASKA,42.56
"=""99651""",ALASKA,42.56
"=""99652""",ALASKA,42.56
"=""99653""",ALASKA,42.56
"=""99654""",ALASKA,42.56
"=""99655""",ALASKA,42.56
"=""99656""",ALASKA,42.56
"=""99657""",ALASKA,42.56
"=""99658""",ALASKA,42.56
"=""99659""",ALASKA,42.56
"=""99660""",ALASKA,42.56
"=""99661""",ALASKA,42.56
"=""99662""",ALASKA,42.56
"=""99663""",ALASKA,42.56
"=""99664""",ALASKA,42.56
"=""99665""",ALASKA,42.56
"=""99666""",ALASKA,42.56
"=""99667""",ALASKA,42.56
"=""99668""",ALASKA,42.56
"=""99669""",ALASKA,42.56
"=""99670""",ALASKA,42.56
"=""99671""",ALASKA,42.56
"=""99672""",ALASKA,42.56
"=""99674""",ALASKA,42.56
"=""99675""",ALASKA,42.56
"=""99676""",ALASKA,42.56
"=""99677""",ALASKA,42.56
"=""99678""",ALASKA,42.56
"=""99679""",ALASKA,42.56
"=""99680""",ALASKA,42.56
"=""99681""",ALASKA,42.56
"=""99682""",ALASKA,42.56
"=""99683""",ALASKA,42.56
"=""99684""",ALASKA,42.56
"=""99685""",ALASKA,42.56
"=""99686""",ALASKA,42.56
"=""99687""",ALASKA,42.56
"=""99688""",ALASKA,42.56
"=""99689""",ALASKA,42.56
"=""99690""",ALASKA,42.56
"=""99691""",ALASKA,42.56
"=""99692""",ALASKA,42.56
"=""99693""",ALASKA,42.56
"=""99694""",ALASKA,42.56
"=""99695""",ALASKA,42.56
"=""99697""",ALASKA,42.56
"=""99701""",ALASKA,42.56
"=""99702""",ALASKA,42.56
"=""99703""",ALASKA,42.56
"=""99704""",ALASKA,42.56
"=""99705""",ALASKA,42.56
"=""99706""",ALASKA,42.56
"=""99707""",ALASKA,42.56
"=""99708""",ALASKA,42.56
"=""99709""",ALASKA,42.56
"=""99710""",ALASKA,42.56
"=""99711""",ALASKA,42.56
"=""99712""",ALASKA,42.56
"=""99714""",ALASKA,42.56
"=""99716""",ALASKA,42.56
"=""99720""",ALASKA,42.56
"=""99721""",ALASKA,42.56
"=""99722""",ALASKA,42.56
"=""99723""",ALASKA,42.56
"=""99724""",ALASKA,42.56
"=""99725""",ALASKA,42.56
"=""99726""",ALASKA,42.56
"=""99727""",ALASKA,42.56
"=""99729""",ALASKA,42.56
"=""99730""",ALASKA,42.56
"=""99731""",ALASKA,42.56
"=""99732""",ALASKA,42.56
"=""99733""",ALASKA,42.56
"=""99734""",ALASKA,42.56
"=""99736""",ALASKA,42.56
"=""99737""",ALASKA,42.56
"=""99738""",ALASKA,42.56
"=""99739""",ALASKA,42.56
"=""99740""",ALASKA,42.56
"=""99741""",ALASKA,42.56
"=""99742""",ALASKA,42.56
"=""99743""",ALASKA,42.56
"=""99744""",ALASKA,42.56
"=""99745""",ALASKA,42.56
"=""99746""",ALASKA,42.56
"=""99747""",ALASKA,42.56
"=""99748""",ALASKA,42.56
"=""99749""",ALASKA,42.56
"=""99750""",ALASKA,42.56
"=""99751""",ALASKA,42.56
"=""99752""",ALASKA,42.56
"=""99753""",ALASKA,42.56
"=""99754""",ALASKA,42.56
"=""99755""",ALASKA,42.56
"=""99756""",ALASKA,42.56
"=""99757""",ALASKA,42.56
"=""99758""",ALASKA,42.56
"=""99759""",ALASKA,42.56
"=""99760""",ALASKA,42.56
"=""99761""",ALASKA,42.56
"=""99762""",ALASKA,42.56
"=""99763""",ALASKA,42.56
"=""99764""",ALASKA,42.56
"=""99765""",ALASKA,42.56
"=""99766""",ALASKA,42.56
"=""99767""",ALASKA,42.56
"=""99768""",ALASKA,42.56
"=""99769""",ALASKA,42.56
"=""99770""",ALASKA,42.56
"=""99771""",ALASKA,42.56
"=""99772""",ALASKA,42.56
"=""99773""",ALASKA,42.56
"=""99774""",ALASKA,42.56
"=""99775""",ALASKA,42.56
"=""99776""",ALASKA,42.56
"=""99777""",ALASKA,42.56
"=""99778""",ALASKA,42.56
"=""99779""",ALASKA,42.56
"=""99780""",ALASKA,42.56
"=""99781""",ALASKA,42.56
"=""99782""",ALASKA,42.56
"=""99783""",ALASKA,42.56
"=""99784""",ALASKA,42.56
"=""99785""",ALASKA,42.56
"=""99786""",ALASKA,42.56
"=""99788""",ALASKA,42.56
"=""99789""",ALASKA,42.56
"=""99790""",ALASKA,42.56
"=""99791""",ALASKA,42.56
"=""99801""",ALASKA,42.56
"=""99802""",ALASKA,42.56
"=""99803""",ALASKA,42.56
"=""99811""",ALASKA,42.56
"=""99812""",ALASKA,42.56
"=""99820""",ALASKA,42.56
"=""99821""",ALASKA,42.56
"=""99824""",ALASKA,42.56
"=""99825""",ALASKA,42.56
